237.000 183.000 168.000 226.000 207.000 233.000 218.000 202.000 232.000 215.000
252.000 176.000 178.000 256.000 214.000 273.000 241.000 206.000 245.000 210.000
359.000 222.000 241.000 286.000 270.000 257.000 300.000 256.000 282.000 273.000
233.000 180.000 203.000 285.000 229.000 279.000 218.000 234.000 237.000 268.000
326.000 216.000 223.000 317.000 276.000 300.000 292.000 258.000 296.000 279.000
282.000 207.000 234.000 324.000 240.000 292.000 247.000 235.000 295.000 255.000
221.000 135.000 160.000 228.000 174.000 190.000 181.000 164.000 207.000 181.000
274.000 235.000 203.000 296.000 246.000 338.000 266.000 271.000 273.000 283.000
302.000 205.000 224.000 317.000 268.000 324.000 289.000 275.000 270.000 288.000
197.000 109.000 153.000 172.000 166.000 173.000 170.000 153.000 182.000 164.000
